281,"BLOEMAERT, Abraham"
306,"ASSELYN, Jan"
158,PARMIGIANINO
179,"UNKNOWN ICON PAINTER, Russian"
123,"LUINI, Bernardino"
65,"DELACROIX, Eugene"
40,"LIPPI, Fra Filippo"
234,LORENZO VENEZIANO
44,SIMONE MARTINI
339,"HELST, Bartholomeus van der"
214,"EECKHOUT, Gerbrand van den"
182,PAOLO VENEZIANO
34,"VELÁZQUEZ, Diego Rodriguez de Silva y"
82,"CORTONA, Pietro da"
317,"VLIEGER, Simon de"
244,ANTONELLO da Messina
63,"STEEN, Jan"
64,CLAUDE LORRAIN
287,"FALCONETTO, Giovanni Maria"
61,"RICCI, Sebastiano"
314,"NETSCHER, Caspar"
147,PIERO DI COSIMO
163,"METSU, Gabriel"
258,"BRIL, Paul"
16,"GOYA Y LUCIENTES, Francisco de"
111,"BRUEGHEL, Pieter the Younger"
50,"BRONZINO, Agnolo"
131,"CRESPI, Giuseppe Maria"
46,"MANET, Edouard"
59,GIULIO ROMANO
259,"BRUEGHEL, Jan the Younger"
125,"ROBERT, Hubert"
315,"CARREO DE MIRANDA, Juan"
255,"BRAY, Jan de"
117,GIORGIONE
230,"WRIGHT, Joseph"
189,ROSSO FIORENTINO
6,"VERONESE, Paolo"
89,"ZURBARÁN, Francisco de"
114,"DORIGNY, Louis"
335,"BASSANO, Francesco"
170,CIMA da Conegliano
33,PIERO DELLA FRANCESCA
208,UGOLINO DI NERIO
142,JACOPO DI CIONE
2,GIOTTO di Bondone
110,"SODOMA, Il"
69,"FRAGONARD, Jean-Honoré"
180,"BERCHEM, Nicolaes"
176,VALENTIN DE BOULOGNE
256,"CARRACCI, Lodovico"
213,"POURBUS, Frans the Younger"
159,"GOES, Hugo van der"
167,"DOSSI, Dosso"
257,GIUSTO de' Menabuoi
75,"ARCIMBOLDO, Giuseppe"
336,"LAIRESSE, Gérard de"
7,RAFFAELLO Sanzio
181,"BATONI, Pompeo"
121,"VOUET, Simon"
150,MASTER of Flémalle
14,MICHELANGELO Buonarroti
231,"CERUTI, Giacomo"
260,"EVERDINGEN, Caesar van"
20,"TOULOUSE-LAUTREC, Henri de"
81,MASOLINO da Panicale
301,"PITTONI, Giambattista"
204,"COROT, Jean-Baptiste Camille"
325,"SUSTERMANS, Justus"
316,"LAZZARINI, Gregorio"
245,"MORONI, Giovanni Battista"
128,"OSTADE, Adriaen Jansz. van"
205,LE NAIN brothers
106,"GREUZE, Jean-Baptiste"
282,"MOR VAN DASHORST, Anthonis"
129,"STROZZI, Bernardo"
112,"SALVIATI, Cecchino del"
326,"SAENREDAM, Pieter Jansz"
307,"SCOREL, Jan van"
177,GIOVANNI DA MILANO
278,"UNKNOWN MASTER, Netherlandish"
221,"POTTER, Paulus"
337,"PROCACCINI, Giulio Cesare"
54,"CARPACCIO, Vittore"
146,GENTILE DA FABRIANO
148,SEBASTIANO DEL PIOMBO
77,"LORENZETTI, Pietro"
219,CIMABUE
73,PINTURICCHIO
113,"GADDI, Taddeo"
266,"POELENBURGH, Cornelis van"
24,CARAVAGGIO
88,"VASARI, Giorgio"
48,"EYCK, Jan van"
164,"PELLEGRINI, Giovanni Antonio"
215,"WEENIX, Jan"
232,"LAWRENCE, Sir Thomas"
53,"LIPPI, Filippino"
32,"CÉZANNE, Paul"
297,"CARLEVARIS, Luca"
85,"WATTEAU, Jean-Antoine"
235,"TIBALDI, Pellegrino"
67,DOMENICHINO
273,"DUJARDIN, Karel"
12,"UNKNOWN MASTER, Italian"
338,"LINGELBACH, Johannes"
206,"COSTA, Lorenzo the Elder"
15,"MANTEGNA, Andrea"
341,BACCHIACCA
261,"GADDI, Agnolo"
160,"ROMANESQUE PAINTER, French"
267,"CONSTABLE, John"
327,"ANGELI, Giuseppe"
274,"MIERIS, Frans van, the Elder"
291,"OUDRY, Jean-Baptiste"
190,"LANCRET, Nicolas"
86,ANDREA DEL CASTAGNO
135,"INGRES, Jean-Auguste-Dominique"
300,"MUNKÁCSY, Mihály"
197,"LIEVENS, Jan"
302,"ROBERTI, Ercole de'"
72,"RUISDAEL, Jacob Isaackszon van"
286,"BERCKHEYDE, Gerrit Adriaensz."
